dato,id,libres
OCUPACION,AL,126
OCUPACION,MA,1
OCUPACION,CA,45
OCUPACION,PA,61
OCUPACION,AN,328
OCUPACION,TE,45
OCUPACION,CE,55
OCUPACION,CY,282
OCUPACION,SJ,319
OCUPACION,PB,169
