dato,id,libres
OCUPACION,AL,155
OCUPACION,MA,4
OCUPACION,CA,45
OCUPACION,PA,52
OCUPACION,AN,203
OCUPACION,TE,33
OCUPACION,CE,40
OCUPACION,CY,151
OCUPACION,SJ,246
OCUPACION,PB,180
