dato,id,libres
OCUPACION,AL,81
OCUPACION,MA,1
OCUPACION,CA,7
OCUPACION,PA,50
OCUPACION,AN,163
OCUPACION,TE,62
OCUPACION,CE,52
OCUPACION,CY,52
OCUPACION,SJ,171
OCUPACION,PB,154
