dato,id,libres
OCUPACION,AL,15
OCUPACION,MA,0
OCUPACION,CA,38
OCUPACION,PA,48
OCUPACION,AN,161
OCUPACION,TE,34
OCUPACION,CE,22
OCUPACION,CY,124
OCUPACION,SJ,233
OCUPACION,PB,187
