dato,id,libres
OCUPACION,AL,133
OCUPACION,MA,21
OCUPACION,CA,52
OCUPACION,PA,0
OCUPACION,AN,233
OCUPACION,TE,26
OCUPACION,CE,101
OCUPACION,CY,358
OCUPACION,SJ,344
OCUPACION,PB,27
