dato,id,libres
OCUPACION,AL,98
OCUPACION,MA,2
OCUPACION,CA,41
OCUPACION,PA,65
OCUPACION,AN,326
OCUPACION,TE,73
OCUPACION,CE,158
OCUPACION,CY,286
OCUPACION,SJ,282
OCUPACION,PB,189
