dato,id,libres
OCUPACION,AL,172
OCUPACION,MA,0
OCUPACION,CA,96
OCUPACION,PA,48
OCUPACION,AN,245
OCUPACION,TE,69
OCUPACION,CE,106
OCUPACION,CY,77
OCUPACION,SJ,206
OCUPACION,PB,176
