dato,id,libres
OCUPACION,AL,80
OCUPACION,MA,65
OCUPACION,CA,70
OCUPACION,PA,37
OCUPACION,AN,177
OCUPACION,TE,45
OCUPACION,CE,80
OCUPACION,CY,122
OCUPACION,SJ,226
OCUPACION,PB,165
