09:24:00 GMTETag: "c4-60e2f68919799"
Accept-Ranges: bytes
Content-Length: 196
Connection: close
Content-Type: text/csv

id_aparcamiento,plazas_libres
OCUPACION AL,185
OCUPACION MA,56
OCUPACION CA,11
OCUPACION PA,38
OCUPACION AN,215
OCUPACION TE,87
OCUPACION CE,195
OCUPACION CY,263
OCUPACION SJ,265
OCUPACION PB,194
bre sacusticas Estado actual/I.5.3.6 Infraestructuras viarias Lnoche/I_5_3_6_04.pdf was not found on this server.</p>
